code,name,chapter,description,inclusions,source_datasets
F10,Mental and behavioural disorders due to use of alcohol,Chapter IIIII: Mental and behavioural disorders due to psychoactive substance use,,,National Scotland
F17,Mental and behavioural disorders due to use of tobacco,Chapter IIIII: Mental and behavioural disorders due to psychoactive substance use,,,National Scotland
F20,Schizophrenia,Chapter IIIII: Mental and Behavioral Disorders,"The schizophrenic disorders are characterized in general by fundamental and characteristic distortions of thinking and perception, and affects that are inappropriate or blunted. Clear consciousness and intellectual capacity are usually maintained although certain cognitive deficits may evolve in the course of time. The most important psychopathological phenomena include thought echo; thought insertion or withdrawal; thought broadcasting; delusional perception and delusions of control; influence or passivity; hallucinatory voices commenting or discussing the patient in the third person; thought disorders and negative symptoms.",,National Scotland
F22,Delusional disorder,Chapter IIIII: Mental and Behavioral Disorders,"A disorder characterized by the development either of a single delusion or of a set of related delusions that are usually persistent and sometimes lifelong. The content of the delusion or delusions is very variable. Clear and persistent auditory hallucinations (voices), schizophrenic symptoms such as delusions of control and marked blunting of affect, and definite evidence of brain disease are all incompatible with this diagnosis. However, the presence of occasional or transitory auditory hallucinations, particularly in elderly patients, does not rule out this diagnosis, provided that they are not typically schizophrenic and form only a small part of the overall clinical picture.",,National Scotland
F23,Acute and transient psychotic disorders,Chapter IIIII: Mental and Behavioral Disorders,"A heterogeneous group of disorders characterized by the acute onset of psychotic symptoms such as delusions, hallucinations, and perceptual disturbances, and by the severe disruption of ordinary behaviour. Acute onset is defined as a crescendo development of a clearly abnormal clinical picture in about two weeks or less. For these disorders there is no evidence of organic causation. Perplexity and puzzlement are often present but disorientation for time, place and person is not persistent or severe enough to justify a diagnosis of organically caused delirium (F05.-). Complete recovery usually occurs within a few months, often within a few weeks or even days. If the disorder persists, a change in classification will be necessary. The disorder may or may not be associated with acute stress, defined as usually stressful events preceding the onset by one to two weeks.",,National Scotland
F25,Schizoaffective disorders,Chapter IIIII: Mental and Behavioral Disorders,"Episodic disorders in which both affective and schizophrenic symptoms are prominent but which do not justify a diagnosis of either schizophrenia or depressive or manic episodes. Other conditions in which affective symptoms are superimposed on a pre-existing schizophrenic illness, or co-exist or alternate with persistent delusional disorders of other kinds, are classified under F20-F29. Mood-incongruent psychotic symptoms in affective disorders do not justify a diagnosis of schizoaffective disorder.",,National Scotland
F29,Unspecified nonorganic psychosis,Chapter IIIII: Mental and Behavioral Disorders,,Psychosis NOS,National Scotland
F30,Manic episode,Chapter IIIII: Mental and Behavioral Disorders,"All the subdivisions of this category should be used only for a single episode. Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder","bipolar disorder, single manic episode",National Scotland
F31,Bipolar affective disorder,Chapter IIIII: Mental and Behavioral Disorders,"A disorder characterized by two or more episodes in which the patient's mood and activity levels are significantly disturbed, this disturbance consisting on some occasions of an elevation of mood and increased energy and activity (hypomania or mania) and on others of a lowering of mood and decreased energy and activity (depression). Repeated episodes of hypomania or mania only are classified as bipolar.",manic depression | manic-depressive: illness | manic-depressive: psychosis | manic-depressive: reaction,National Scotland
F32,Depressive episode,Chapter IIIII: Mental and Behavioral Disorders,"In typical mild, moderate, or severe depressive episodes, the patient suffers from lowering of mood, reduction of energy, and decrease in activity. Capacity for enjoyment, interest, and concentration is reduced, and marked tiredness after even minimum effort is common. Sleep is usually disturbed and appetite diminished. Self-esteem and self-confidence are almost always reduced and, even in the mild form, some ideas of guilt or worthlessness are often present. The lowered mood varies little from day to day, is unresponsive to circumstances and may be accompanied by so-called ""somatic"" symptoms, such as loss of interest and pleasurable feelings, waking in the morning several hours before the usual time, depression worst in the morning, marked psychomotor retardation, agitation, loss of appetite, weight loss, and loss of libido. Depending upon the number and severity of the symptoms, a depressive episode may be specified as mild, moderate or severe.",single episodes of: depressive reaction | single episodes of: psychogenic depression | single episodes of: reactive depression,National Scotland
F33,Recurrent depressive disorder,Chapter IIIII: Mental and Behavioral Disorders,"A disorder characterized by repeated episodes of depression as described for depressive episode (F32.-), without any history of independent episodes of mood elevation and increased energy (mania). There may, however, be brief episodes of mild mood elevation and overactivity (hypomania) immediately after a depressive episode, sometimes precipitated by antidepressant treatment. The more severe forms of recurrent depressive disorder (F33.2 and F33.3) have much in common with earlier concepts such as manic-depressive depression, melancholia, vital depression and endogenous depression. The first episode may occur at any age from childhood to old age, the onset may be either acute or insidious, and the duration varies from a few weeks to many months. The risk that a patient with recurrent depressive disorder will have an episode of mania never disappears completely, however many depressive episodes have been experienced. If such an episode does occur, the diagnosis should be changed to bipolar affective disorder (F31.-).",recurrent episodes of: depressive reaction | recurrent episodes of: psychogenic depression | recurrent episodes of: reactive depression | seasonal depressive disorder,National Scotland
F39,Unspecified mood [affective] disorder,Chapter IIIII: Mental and Behavioral Disorders,,Affective psychosis NOS,National Scotland
F41,Other anxiety disorders,Chapter IIIII: Mental and Behavioral Disorders,"Disorders in which manifestation of anxiety is the major symptom and is not restricted to any particular environmental situation. Depressive and obsessional symptoms, and even some elements of phobic anxiety, may also be present, provided that they are clearly secondary or less severe.",,National Scotland
F81,Specific developmental disorders of scholastic skills,Chapter IIIII: Mental and Behavioral Disorders,"Disorders in which the normal patterns of skill acquisition are disturbed from the early stages of development. This is not simply a consequence of a lack of opportunity to learn, it is not solely a result of mental retardation, and it is not due to any form of acquired brain trauma or disease",,National Scotland
G20,Parkinson disease,Chapter : VI Diseases of the nervous system,"A progressive nervous system disorder that primarily affects movement. It occurs when nerve cells in a specific part of the brain (the substantia nigra) die off. These cells normally produce a chemical messenger called dopamine.   Without enough dopamine, the brain cannot smoothly send signals to the muscles. This leads to the classic physical signs of the disease: rhythmic shaking (resting tremors, often starting in one hand), severe muscle stiffness, and extremely slowed movement (bradykinesia). As it advances, it alters gait, causing a stooped posture and a shuffling walk.",Hemiparkinsonism | Paralysis agitans | Parkinsonism or Parkinson disease: NOS | Parkinsonism or Parkinson disease: idiopathic | Parkinsonism or Parkinson disease: primary,National Scotland
G25,Other extrapyramidal and movement disorders,Chapter : VI Diseases of the nervous system,"This is a ""catch-all"" category for involuntary movement issues that look like Parkinson's but are caused by different brain anomalies or medications.    The ""extrapyramidal system"" is the brain's network for regulating involuntary movements (like swinging your arms while walking). When compromised, patients experience uncontrollable physical movements. This code covers essential tremors (shaking that happens when trying to use your hands), tics, and dystonia (painful, involuntary muscle contractions that twist parts of the body).",,National Scotland
G30,Alzheimer disease,Chapter : VI Diseases of the nervous system,"A progressive, irreversible brain disorder that slowly destroys memory, thinking skills, and eventually, the ability to carry out simple tasks. It is the most common cause of dementia.",senile and presenile forms,National Scotland
G308D,Other Alzheimer disease,Chapter : VI Diseases of the nervous system,"A progressive, irreversible brain disorder that slowly destroys memory, thinking skills, and eventually, the ability to carry out simple tasks. It is the most common cause of dementia.",senile and presenile forms,Tayside and Fife
G309,"Alzheimer disease, unspecified",Chapter : VI Diseases of the nervous system,"A progressive, irreversible brain disorder that slowly destroys memory, thinking skills, and eventually, the ability to carry out simple tasks. It is the most common cause of dementia.     ""Unspecified"" Alzheimer's, used when a doctor diagnoses standard Alzheimer's without specifying if it is early-onset or late-onset.",,Tayside and Fife
G309D,"Alzheimer disease, unspecified",Chapter : VI Diseases of the nervous system,"A progressive, irreversible brain disorder that slowly destroys memory, thinking skills, and eventually, the ability to carry out simple tasks. It is the most common cause of dementia.     ""Unspecified"" Alzheimer's, used when a doctor diagnoses standard Alzheimer's without specifying if it is early-onset or late-onset.",senile and presenile forms,Tayside and Fife
G31,"Other degenerative diseases of nervous system, not elsewhere classified",Chapter : VI Diseases of the nervous system," Conditions where brain cells are dying, but the pattern doesn't match Alzheimer's or Parkinson's.The most common condition under this code is Frontotemporal Dementia (FTD). Unlike Alzheimer's, which hits memory first, FTD attacks the frontal and temporal lobes of the brain. This causes drastic changes in personality, loss of social filters, inappropriate behavior, or severe language difficulties, while memory often remains intact early on.",,National Scotland
G35,Multiple sclerosis,Chapter : VI Diseases of the nervous system," A chronic, often disabling disease where the body’s own immune system mistakenly attacks the Central Nervous System (the brain and spinal cord).Nerve fibers are insulated by a protective fatty coating called myelin (like the plastic insulation around an electrical wire). In MS, the immune system strips away this myelin. This leaves scar tissue (sclerosis) and disrupts or completely blocks the electrical signals traveling between the brain and the body. Symptoms vary wildly depending on which nerves are damaged, ranging from profound fatigue and numbness to vision loss, muscle weakness, and difficulty walking.",Multiple sclerosis (of): NOS | Multiple sclerosis (of): brain stem | Multiple sclerosis (of): cord | Multiple sclerosis (of): disseminated | Multiple sclerosis (of): generalized,National Scotland
G37,Other demyelinating diseases of central nervous system,Chapter : VI Diseases of the nervous system," Applied when the nerve insulation (myelin) is being destroyed, but the pattern or cause does not fit standard Multiple Sclerosis.What happens to the body: An example under this code is Devic's disease (Neuromyelitis Optica), where the immune system specifically targets the optic nerves and the spinal cord simultaneously. This causes rapid, severe inflammation resulting in sudden vision loss and temporary paralysis or weakness in the legs.",,National Scotland
G40,Epilepsy,Chapter : VI Diseases of the nervous system,"A neurological disorder marked by a tendency to have unprovoked, repeated seizures. A single, isolated seizure (like one caused by a high fever) is not epilepsy; it must be a chronic, recurring issue to use this code. Seizures are caused by sudden, synchronized bursts of abnormal electrical activity in the brain. Think of it like an electrical storm or a temporary power surge in a computer. Depending on where the surge occurs, it can cause full-body convulsions (tonic-clonic seizures), brief periods of blank staring (absence seizures), or localized muscle jerking.",,National Scotland
G41,Status epilepticus,Chapter : VI Diseases of the nervous system,"This is a critical medical emergency. It describes a seizure that lasts continuously for more than 5 minutes, or a series of seizures occurring so close together that the patient does not wake up between them.  During prolonged seizures, the brain is working at maximum capacity without a break, which rapidly depletes its oxygen and glucose supplies. If not stopped immediately with intravenous medications, it can lead to permanent brain damage, respiratory failure, or cardiac arrest due to the immense physical stress put on the body.",,National Scotland
G45,Transient cerebral ischaemic attacks and related syndromes,Chapter : VI Diseases of the nervous system,"Commonly known as a ""mini-stroke."" It is a temporary period of stroke-like symptoms that resolves completely within 24 hours (usually within an hour) without leaving permanent brain damage.A tiny blood clot or a clump of cholesterol temporarily blocks an artery supplying blood to a specific part of the brain. Because the blood flow is cut off, the patient experiences sudden stroke symptoms: weakness on one side of the face, a numb arm, or slurred speech. The body's natural defense systems quickly dissolve the clot, restoring blood flow before the brain tissue actually dies. It is a critical warning sign that a major stroke may happen soon.",,National Scotland
G451,Carotid artery syndrome (hemispheric),Chapter : VI Diseases of the nervous system,"Commonly known as a ""mini-stroke."" It is a temporary period of stroke-like symptoms that resolves completely within 24 hours (usually within an hour) without leaving permanent brain damage.A tiny blood clot or a clump forms in the carotid arety, the massive blood vessels in the neck that supply the front of the brain. Because the blood flow is cut off, the patient experiences sudden stroke symptoms: weakness on one side of the face, a numb arm, or slurred speech. The body's natural defense systems quickly dissolve the clot, restoring blood flow before the brain tissue actually dies. It is a critical warning sign that a major stroke may happen soon.",,Tayside and Fife
G459,"Transient cerebral ischaemic attack, unspecified",Chapter : VI Diseases of the nervous system,"Commonly known as a ""mini-stroke."" It is a temporary period of stroke-like symptoms that resolves completely within 24 hours (usually within an hour) without leaving permanent brain damage.A tiny blood clot or a clump of cholesterol temporarily blocks an artery supplying blood to a specific part of the brain. Because the blood flow is cut off, the patient experiences sudden stroke symptoms: weakness on one side of the face, a numb arm, or slurred speech. The body's natural defense systems quickly dissolve the clot, restoring blood flow before the brain tissue actually dies. It is a critical warning sign that a major stroke may happen soon. This Code does not specify where the heart artery blockage is located.",Spasm of cerebral artery | Transient cerebral ischaemia NOS,Tayside and Fife
G55,Nerve root and plexus compressions in diseases classified elsewhere,Chapter : VI Diseases of the nervous system,"This code is used when a nerve leaving the spinal cord is being physically pinched or crushed, but the underlying root cause is classified under a different medical chapter (such as a herniated disc, arthritis, or a bone tumor). When a nerve root is compressed as it exits the spine, the electrical signals get distorted. This results in radiculopathy—shooting pain, burning, numbness, or weakness that travels down the exact path of that nerve. A classic example is severe sciatica, where a pinched nerve in the lower back causes pain to shoot all the way down to the foot.",,National Scotland
G59,Mononeuropathy in diseases classified elsewhere,Chapter : VI Diseases of the nervous system,"Damage localized to one single nerve anywhere in the body, caused by an underlying systemic illness. A prime example is diabetic mononeuropathy, where fluctuating blood sugar levels suddenly cut off the microscopic blood supply to one specific nerve. This often happens to the cranial nerves controlling the eye, causing a sudden droopy eyelid or double vision, or to a nerve in the wrist, causing sudden wrist drop.",,National Scotland
G62,Drug-induced polyneuropathy,Chapter : VI Diseases of the nervous system,"Widespread, systemic damage affecting multiple peripheral nerves throughout the body simultaneously, usually starting in the longest nerves first. Instead of a single pinched nerve, thousands of microscopic nerve endings are slowly damaged. It almost always begins in the toes and feet before moving up the legs (often called a ""stocking-glove"" pattern). It causes constant burning pain, tingling (""pins and needles""), and a loss of sensation that makes patients feel like they are walking on cotton or pins.This code General or idiopathic polyneuropathy (such as nerve damage caused by chronic alcoholism, nutritional deficiencies, or unknown reasons).",,National Scotland
G63,Polyneuropathy in infectious and parasitic diseases classified elsewhere,Chapter : VI Diseases of the nervous system,"Widespread, systemic damage affecting multiple peripheral nerves throughout the body simultaneously, usually starting in the longest nerves first. Instead of a single pinched nerve, thousands of microscopic nerve endings are slowly damaged. It almost always begins in the toes and feet before moving up the legs (often called a ""stocking-glove"" pattern). It causes constant burning pain, tingling (""pins and needles""), and a loss of sensation that makes patients feel like they are walking on cotton or pins.This code explanses Nerve damage caused directly by another officially diagnosed disease, most commonly Diabetic Peripheral Neuropathy.",,National Scotland
G81,Hemiplegia,Chapter : VI Diseases of the nervous system,"Paralysis that completely freezes or severely weakens one vertical half of the body (left side or right side).This is rarely a problem with the muscles themselves; it is an injury to the opposite side of the brain. If a stroke or injury damages the motor cortex on the left side of the brain, the right side of the body becomes paralyzed.",,National Scotland
G819,"Hemiplegia, unspecified",Chapter : VI Diseases of the nervous system,"Paralysis that completely freezes or severely weakens one vertical half of the body (left side or right side).This is rarely a problem with the muscles themselves; it is an injury to the opposite side of the brain. If a stroke or injury damages the motor cortex on the left side of the brain, the right side of the body becomes paralyzed.",,Tayside and Fife
G82,Paraplegia and tetraplegia,Chapter : VI Diseases of the nervous system,"Severe paralysis affecting the lower half of the body (paraplegia) or all four limbs (tetraplegia, also known as quadriplegia). This is typically caused by a spinal cord injury or disease. The spinal cord acts as the main highway for brain signals. If the highway is severed or crushed in the lower back, signals cannot reach the legs (paraplegia). If the injury occurs high up in the neck, the signals are cut off from the arms, chest, and legs (tetraplegia), requiring long-term mobility and respiratory assistance.",,National Scotland
G83,Diplegia of upper limbs,Chapter : VI Diseases of the nervous system,"Forms of paralysis that do not fit the clean definitions of one-sided or half-body paralysis. This includes monoplegia (paralysis of just one single limb, like a single arm after a focal nerve injury) or Cauda Equina Syndrome, where the bundle of nerves at the very base of the spine is suddenly crushed, causing a loss of bladder control and numbness in the groin area.","paralysis (complete)(incomplete), except as in G80-G82",National Scotland
G93,Other disorders of brain,Chapter : VI Diseases of the nervous system,"A broad category for structural or metabolic brain injuries that aren't caused by a stroke or direct physical trauma (like a car accident). This code is frequently used for Anoxic Brain Injury (when the brain is starved of oxygen, such as during a near-drowning or cardiac arrest) or Cerebral Edema (dangerous swelling of the brain tissue inside the skull). Because the skull cannot expand, any swelling puts intense pressure on the brain, cutting off healthy blood flow and damaging vital regulatory centers.",,National Scotland
G95,Other diseases of spinal cord,Chapter : VI Diseases of the nervous system,"This code is used for progressive or acute damage to the spinal cord that is not caused by sudden physical trauma (like a car crash, fall, or sports injury). It covers structural, inflammatory, and vascular issues within the spinal column. The spinal cord is the main electrical cable carrying signals between your brain and your body. When it is compressed or inflamed by non-traumatic diseases, those signals get blocked or jumbled. Common conditions falling under this code include: Myelopathy: Gradual compression of the spinal cord, often due to severe arthritis or narrowing of the spinal canal (spinal stenosis).Myelitis: Sudden inflammation of the spinal cord tissue, often triggered by a viral infection. This disrupts the protective myelin coating around the nerves.Spinal Cord Infarction: A ""stroke"" inside the spinal cord, where a blood clot cuts off the blood supply to the nerve tissue, causing rapid cell death.Common Symptoms:Stiff, weak, or heavy legs making it difficult to walk or maintain balance.Loss of fine motor skills in the hands, like struggling to button a shirt.Numbness, tingling, or a ""band-like"" tightness around the chest or abdomen.Sudden or gradual loss of bowel or bladder control.",,National Scotland
G99,Other disorders of nervous system in diseases classified elsewhere,Chapter : VI Diseases of the nervous system,"This is a ""dual-coding"" or ""manifestation"" code. It means the patient's nervous system is being actively damaged, but the root cause is a completely different underlying medical condition that belongs to another area of medicine (like cancer, metabolic diseases, or endocrine issues).What happens to the body: This code is never used on its own; it is always paired with the primary illness. The underlying disease creates toxins, causes nutritional starvation, or physically spreads to damage healthy nerve tissue. Common examples include:Autonomic Neuropathy in Cancer: A tumor or cancer treatment damages the involuntary nervous system, causing sudden dangerous drops in blood pressure when standing up.Nutritional Nervous System Damage: Severe, long-term malnutrition or vitamin deficiencies (like a total lack of Vitamin B12) causing the spinal cord tracts to slowly degenerate.Amyloidosis of the Nervous System: A rare disease where abnormal proteins build up in peripheral nerves, destroying their ability to send messages.Common Symptoms: Symptoms depend entirely on which nerves are targeted by the underlying disease, but they frequently include:Severe, unexplained nerve pain or numbness.Dizziness, fainting, or rapid heart rate due to misfiring involuntary nerves.Progressive muscle wasting and unexplained physical weakness.",,National Scotland
H02,Other disorders of eyelid,"Chapter :	VII Diseases of the eye and adnexa","Covers structural eyelid failures, shifted lenses, gel breakdowns inside the eye, localized eyeball infections, symptoms like double-vision, or surgical complications from eye procedures.",,National Scotland
H25,Senile cataract,"Chapter :	VII Diseases of the eye and adnexa","A gradual clouding of the eye’s natural, internal lens, which sits right behind the pupil. The lens is made mostly of water and precisely arranged proteins that keep it perfectly clear to let light pass through. Over time, these proteins begin to clump together, turning the clear lens yellowish, brownish, or cloudy. It is like looking through a foggy, smeared window, making it difficult to read, drive, or see colors clearly.",,National Scotland
H26,Other cataract,"Chapter :	VII Diseases of the eye and adnexa","A gradual clouding of the eye’s natural, internal lens, which sits right behind the pupil. The lens is made mostly of water and precisely arranged proteins that keep it perfectly clear to let light pass through. Over time, these proteins begin to clump together, turning the clear lens yellowish, brownish, or cloudy. It is like looking through a foggy, smeared window, making it difficult to read, drive, or see colors clearly.",,National Scotland
H27,Other disorders of lens,"Chapter :	VII Diseases of the eye and adnexa","Covers structural eyelid failures, shifted lenses, gel breakdowns inside the eye, localized eyeball infections, symptoms like double-vision, or surgical complications from eye procedures.",,National Scotland
H33,Retinal detachments and breaks,"Chapter :	VII Diseases of the eye and adnexa","A time-sensitive, vision-threatening emergency where the retina (the light-sensitive layer of tissue at the back of the eye) pulls away from its underlying supportive layer of blood vessels. If a small tear forms in the retina, the fluid inside the eyeball can leak underneath it, acting like water lifting wallpaper off a wall. As the retina detaches, it is starved of oxygen and nutrients. Patients describe seeing sudden flashes of light, a shower of dark ""floaters,"" or a dark shadow/curtain pulling across their field of vision. If not surgically reattached quickly, it causes permanent blindness in that eye.",,National Scotland
H35,Other retinal disorders,"Chapter :	VII Diseases of the eye and adnexa"," Chronic damage to the retina that alters how visual information is captured and sent to the brain.H35 includes conditions like Macular Degeneration, where the central part of the retina deteriorates, wiping out a person's straight-ahead vision while leaving their side vision intact. ",,National Scotland
H36,Retinal disorders in diseases classified elsewhere,"Chapter :	VII Diseases of the eye and adnexa","Chronic damage to the retina that alters how visual information is captured and sent to the brain.H36 is reserved for retinal damage caused by outside illnesses—most notably Diabetic Retinopathy, where high blood sugar weakens the tiny blood vessels in the eye, causing them to leak fluid, bleed into the eye, and grow abnormal, fragile new vessels that distort vision.",,National Scotland
H40,Glaucoma,"Chapter :	VII Diseases of the eye and adnexa"," A disease known as the ""silent thief of sight"" because it slowly steals vision without any pain or early warning signs. It causes progressive damage to the optic nerve.  The front of the eye constantly produces a clear fluid that needs to drain out. If the drainage channels get clogged or narrowed, fluid builds up, causing the pressure inside the eyeball (intraocular pressure) to spike. This elevated pressure physically crushes the delicate nerve fibers of the optic nerve at the back of the eye, slowly wiping out peripheral (side) vision first until only a narrow tunnel of vision remains.",,National Scotland
H43,Disorders of vitreous body,"Chapter :	VII Diseases of the eye and adnexa","Covers structural eyelid failures, shifted lenses, gel breakdowns inside the eye, localized eyeball infections, symptoms like double-vision, or surgical complications from eye procedures.",,National Scotland
H44,Disorders of globe,"Chapter :	VII Diseases of the eye and adnexa","Covers structural eyelid failures, shifted lenses, gel breakdowns inside the eye, localized eyeball infections, symptoms like double-vision, or surgical complications from eye procedures.",disorders affecting multiple structures of eye,National Scotland
H53,Visual disturbances,"Chapter :	VII Diseases of the eye and adnexa","Covers structural eyelid failures, shifted lenses, gel breakdowns inside the eye, localized eyeball infections, symptoms like double-vision, or surgical complications from eye procedures.",,National Scotland
H54,Visual impairment including blindness (binocular or monocular),"Chapter :	VII Diseases of the eye and adnexa","An administrative and clinical code used to document legal blindness or profound visual impairment that cannot be corrected with regular glasses, contact lenses, or surgery. This code tracks severity scales rather than a specific disease mechanism. It tells insurers and health agencies exactly how limited a person's eyesight is—ranging from severe low vision (unable to read large print) to total blindness (no light perception at all) in one or both eyes.",,National Scotland
H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified","Chapter :	VII Diseases of the eye and adnexa","Covers structural eyelid failures, shifted lenses, gel breakdowns inside the eye, localized eyeball infections, symptoms like double-vision, or surgical complications from eye procedures.",,National Scotland
H61,Other disorders of external ear,Diseases of the ear and mastoid process,Outer ear mechanical issues (like severe earwax blockages causing pressure) and clinical hearing loss (nerve-related or mechanical deafness).,,National Scotland
H91,Other hearing loss,Diseases of the ear and mastoid process,Outer ear mechanical issues (like severe earwax blockages causing pressure) and clinical hearing loss (nerve-related or mechanical deafness).,,National Scotland
I08,Multiple valve diseases,Diseases of the circulatory system,,whether specified as rheumatic or of unspecified origin,National Scotland
I10,Essential (primary) hypertension,Diseases of the circulatory system,"Chronic, long-term high blood pressure that develops gradually over years with no single, identifiable medical cause (like a kidney tumor or a medication side effect). It affects roughly 1 in 3 adults. Blood pressure is the force of your blood pushing against the walls of your arteries. In hypertension, the heart has to work significantly harder to pump blood because the blood vessels have become stiff, narrow, or restricted. It causes quiet, microscopic wear and tear to blood vessels across the entire body, dramatically increasing the risk of strokes and heart attacks over time.",High blood pressure | Hypertension (arterial)(benign)(essential)(malignant)(primary)(systemic),National Scotland
I11,Hypertensive heart disease,Diseases of the circulatory system,"Structural damage to the heart muscle that happens as a direct consequence of years of untreated or poorly controlled high blood pressure (I10).Because the heart has been forcing blood through stiff, high-pressure arteries for years, the muscle adapts to the heavy workload by thickening—a condition called Left Ventricular Hypertrophy (similar to how a bicep grows larger from lifting heavy weights). However, a thickened heart muscle becomes stiff, less efficient, and struggles to relax between beats. Over time, this leads directly to congestive heart failure, where the heart can no longer pump enough blood to meet the body's needs, causing fluid to back up into the lungs and legs.","any condition in I50.-, I51.4-I51.9 due to hypertension",National Scotland
I12,Hypertensive renal disease,Diseases of the circulatory system," Permanent, progressive kidney damage and scarring caused entirely by long-term high blood pressure. The kidneys filter waste out of your blood using millions of microscopic, delicate blood vessel loops called glomeruli. High blood pressure acts like a pressure-washer inside these tiny, fragile filters. Over time, the intense pressure scars and destroys these vessels. As the filters fail, the kidneys lose their ability to clean the blood, leading to a dangerous buildup of toxins in the body (uremia) and potentially requiring long-term dialysis or a kidney transplant.","any condition in N00-N07, N18.-, N19 or N26 due to hypertension | arteriosclerosis of kidney | arteriosclerotic nephritis (chronic)(interstitial) | hypertensive nephropathy | nephrosclerosis",National Scotland
I120,Hypertensive renal disease with renal failure,Diseases of the circulatory system,"iltering units of the kidneys (the glomeruli) [I12]. Over many years, this pressure causes extensive scarring. When it reaches Stage 5 or End-Stage Renal Disease (ESRD), the kidneys lose their ability to filter waste products, balance fluids, and remove excess water from the blood. Toxins build up rapidly in the bloodstream (uremia) [I12], which can affect other organs like the brain and heart. At this stage, the body requires mechanical filtration or surgery to survive.Common Symptoms: Severe fluid retention (swelling in the legs, ankles, or face), profound fatigue, nausea, confusion, a metallic taste in the mouth, and short breath.Typical Management Options: Long-term dialysis (hemodialysis or peritoneal dialysis), strict fluid and dietary restrictions, or a kidney transplant.",Hypertensive renal failure,Tayside and Fife
I20,Angina pectoris,Diseases of the circulatory system," This is the clinical term for chest pain or discomfort that happens when your heart muscle does not get enough oxygen-rich blood. It is a major warning sign of coronary artery disease. Cholesterol and fatty plaques build up inside the coronary arteries (the blood vessels that feed the heart muscle), narrowing the pathway. When a person rests, the heart can usually get by on the limited blood flow. However, during exertion, stress, or cold weather, the heart beats faster and demands more oxygen. Because the narrowed arteries cannot deliver enough blood, the heart muscle temporarily starves for oxygen, causing an ache or cramping sensation.Common Symptoms: A squeezing, pressure, heaviness, or tight pain in the center of the chest. This pain can radiate out to the left shoulder, arm, neck, or jaw. It is usually triggered by physical activity and goes away within minutes of resting or taking medication.Typical Management Options: Medications like nitroglycerin (to rapidly widen the blood vessels), beta-blockers, lifestyle changes, or procedures like placing a stent (angioplasty) to prop the artery open.",,National Scotland
I21,Acute myocardial infarction,Diseases of the circulatory system,"This is the formal medical term for a heart attack. It is a time-sensitive, life-threatening medical emergency. Unlike angina, where blood flow is just restricted, a heart attack happens when a fatty plaque inside a coronary artery suddenly ruptures. The body tries to heal the tear by forming a blood clot over it. This clot completely blocks the artery, completely cutting off the blood and oxygen supply to a specific section of the heart muscle. Within minutes, the starved heart muscle cells begin to die. If the artery is not cleared quickly, that part of the heart suffers permanent, irreversible muscle damage or scarring, which can stop the heart entirely.Common Symptoms: Severe, crushing chest pain or pressure that does not go away with rest or medication. It is frequently accompanied by sudden shortness of breath, breaking out in a cold sweat, dizziness, extreme anxiety, and unexplained nausea or vomiting.Typical Management Options: Immediate emergency medical attention. Emergency interventions include blood-thinning or clot-busting medications, an immediate cardiac catheterization to open the blocked vessel with a balloon and stent, or coronary artery bypass surgery.",myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,National Scotland
I210,Acute transmural myocardial infarction of anterior wall,Diseases of the circulatory system,"A severe heart attack where a major artery supplying the front (anterior) wall of the heart is completely blocked. ""STEMI"" means a specific, dangerous pattern is visible on an EKG.The front wall of the left ventricle is the heart's main pumping powerhouse. When its blood supply is entirely cut off, a massive area of critical muscle tissue immediately begins to die. This rapidly weakens the heart's ability to pump blood to the rest of the body",Transmural infarction (acute)(of): anterior (wall) NOS | Transmural infarction (acute)(of): anteroapical | Transmural infarction (acute)(of): anterolateral | Transmural infarction (acute)(of): anteroseptal,Tayside and Fife
I2101,Acute myocardial infarction,Diseases of the circulatory system," A sub-category of the front-wall heart attack, specifying a total blockage in the Left Main Coronary Artery. In medicine, this is often called the ""widowmaker"" block. The left main artery is the trunk line that feeds the entire left side of the heart. A complete blockage here threatens a vast portion of the heart muscle at once, making it a critical, high-mortality medical emergency.",myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,Tayside and Fife
I211,Acute transmural myocardial infarction of inferior wall,Diseases of the circulatory system,"A total artery blockage causing a heart attack on the bottom (inferior/diaphragmatic) wall of the heart.The bottom of the heart sits right above the diaphragm. While still dangerous, an inferior STEMI typically affects a smaller portion of the primary pumping muscle than an anterior wall attack. However, it frequently disrupts the heart's natural electrical pacemaker node, which sits near this area.",Transmural infarction (acute)(of): diaphragmatic wall | Transmural infarction (acute)(of): inferior (wall) NOS | Transmural infarction (acute)(of): inferolateral | Transmural infarction (acute)(of): inferoposterior,Tayside and Fife
